eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
a32bd879-89df-4b8c-8287-1ebe833196f8,34,False,"[(110, 88), (119, 75), (127, 71)]",156,144,48,45,156,118,192,198,127,198,110,194,119,194,119,198,110,198,110,198,110,194,119,198,110,198,127,194,119,195.5076,115.608,198.0,110.0,196.3932,113.6154,194.0,119.0,1.03125,1.0104166666666667
871fb252-4be6-4c1d-85e0-30bbe0f61b15,0,False,"[(49, 105)]",100,212,27,50,100,52,148,154,49,154,49,154,49,154,49,154,49,154,49,154,49,154,49,154,49,154,49,154,49,154.0,49.0,154.0,49.0,154.0,49.0,154.0,49.0,1.0405405405405406,1.0405405405405406
871fb252-4be6-4c1d-85e0-30bbe0f61b15,0,False,"[(105, 49)]",212,100,50,27,212,96,148,154,105,154,105,154,105,154,105,154,105,154,105,154,105,154,105,154,105,154,105,154,105,154.0,105.0,154.0,105.0,154.0,105.0,154.0,105.0,1.0405405405405406,1.0405405405405406
2bb2b214-7429-4080-806b-43b16161137e,56,True,"[(49, 127)]",112,134,31,57,112,49,176,176,49,176,49,176,49,176,49,176,49,176,49,176,49,176,49,176,49,176,49,176,49,176.0,49.0,176.0,49.0,176.0,49.0,176.0,49.0,1.0,1.0
2bb2b214-7429-4080-806b-43b16161137e,56,True,"[(127, 49)]",134,112,57,31,134,127,176,176,127,176,127,176,127,176,127,176,127,176,127,176,127,176,127,176,127,176,127,176,127,176.0,127.0,176.0,127.0,176.0,127.0,176.0,127.0,1.0,1.0
7af49240-5377-4630-96a5-9b77f68663f4,33,True,"[(90, 34)]",90,34,26,7,90,54,108,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124.0,90.0,124.0,90.0,124.0,90.0,124.0,90.0,1.1481481481481481,1.1481481481481481
7af49240-5377-4630-96a5-9b77f68663f4,33,True,"[(34, 90)]",34,90,7,26,34,54,108,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124.0,34.0,124.0,34.0,124.0,34.0,124.0,34.0,1.1481481481481481,1.1481481481481481
ff9d5e08-6bf6-47ec-95c0-d3ba89ba41ca,0,False,"[(48, 104), (77, 99), (96, 96)]",100,212,19,50,100,51,146,152,48,192,96,152,48,152,48,192,96,152,48,152,48,152,48,152,48,192,96,152,48,154.7549,51.3289,152.0,48.0,152.0,48.0,152.0,48.0,1.3150684931506849,1.0410958904109588
ff9d5e08-6bf6-47ec-95c0-d3ba89ba41ca,0,False,"[(104, 48), (99, 77), (96, 96)]",212,100,50,19,212,95,146,152,104,192,96,152,104,152,104,192,96,152,104,152,104,152,104,152,104,192,96,152,104,154.7549,103.426,152.0,104.0,152.0,104.0,152.0,104.0,1.3150684931506849,1.0410958904109588
477e2db5-ca1b-4015-aea3-cd87486cd202,0,True,"[(112, 12)]",112,12,35,7,112,94,122,124,112,124,112,124,112,124,112,124,112,124,112,124,112,124,112,124,112,124,112,124,112,124.0,112.0,124.0,112.0,124.0,112.0,124.0,112.0,1.0163934426229508,1.0163934426229508
477e2db5-ca1b-4015-aea3-cd87486cd202,0,True,"[(12, 112)]",12,112,7,35,12,28,122,124,12,124,12,124,12,124,12,124,12,124,12,124,12,124,12,124,12,124,12,124,12,124.0,12.0,124.0,12.0,124.0,12.0,124.0,12.0,1.0163934426229508,1.0163934426229508
31d7c520-084f-424f-bf7e-aba50befd105,12,False,"[(76, 132), (89, 111), (123, 101), (132, 88)]",144,178,45,61,144,89,200,208,76,200,89,200,89,200,89,200,89,200,89,200,89,200,89,200,89,220,132,200,89,201.4502,92.1178,202.8236,84.4118,200.0,89.0,200.0,89.0,1.12,1.0
31d7c520-084f-424f-bf7e-aba50befd105,12,False,"[(132, 76), (111, 89), (101, 123), (88, 132)]",178,144,61,45,178,111,200,208,132,200,111,200,111,200,111,200,111,200,111,200,111,200,111,200,111,220,88,200,111,201.4502,109.3324,202.8236,118.4118,200.0,111.0,200.0,111.0,1.12,1.0
8741fa39-5d33-4c44-9f0d-a5b4da85b3f3,55,True,"[(232, 34)]",232,34,65,7,232,232,266,266,232,266,232,266,232,266,232,266,232,266,232,266,232,266,232,266,232,266,232,266,232,266.0,232.0,266.0,232.0,266.0,232.0,266.0,232.0,1.0,1.0
8741fa39-5d33-4c44-9f0d-a5b4da85b3f3,55,True,"[(34, 232)]",34,232,7,65,34,34,266,266,34,266,34,266,34,266,34,266,34,266,34,266,34,266,34,266,34,266,34,266,34,266.0,34.0,266.0,34.0,266.0,34.0,266.0,34.0,1.0,1.0
2c32545e-3a2f-4f62-ba91-a118bd7f6283,0,True,"[(80, 12)]",80,12,18,3,80,63,92,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92,80,92.0,80.0,92.0,80.0,92.0,80.0,92.0,80.0,1.0,1.0
2c32545e-3a2f-4f62-ba91-a118bd7f6283,0,True,"[(12, 80)]",12,80,3,18,12,29,92,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92,12,92.0,12.0,92.0,12.0,92.0,12.0,92.0,12.0,1.0,1.0
0323c795-4346-4d71-bbfd-66d2523edde2,56,True,"[(97, 41), (88, 44)]",100,100,27,23,100,88,132,138,97,132,88,132,88,132,88,132,88,132,88,132,88,132,88,132,88,138,97,132,88,132.3809,88.5714,132.0,88.0,132.0,88.0,132.0,88.0,1.0454545454545454,1.0
0323c795-4346-4d71-bbfd-66d2523edde2,56,True,"[(41, 97), (44, 88)]",100,100,23,27,100,44,132,138,41,132,44,132,44,132,44,132,44,132,44,132,44,132,44,132,44,138,41,132,44,132.3809,43.8095,132.0,44.0,132.0,44.0,132.0,44.0,1.0454545454545454,1.0
99b2ea72-8665-4fb4-988d-32db32f805ef,0,True,"[(129, 85)]",178,122,52,50,178,129,214,214,129,214,129,214,129,214,129,214,129,214,129,214,129,214,129,214,129,214,129,214,129,214.0,129.0,214.0,129.0,214.0,129.0,214.0,129.0,1.0,1.0
99b2ea72-8665-4fb4-988d-32db32f805ef,0,True,"[(85, 129)]",122,178,50,52,122,85,214,214,85,214,85,214,85,214,85,214,85,214,85,214,85,214,85,214,85,214,85,214,85,214.0,85.0,214.0,85.0,214.0,85.0,214.0,85.0,1.0,1.0
c2ff2932-0fb8-4c34-9055-9525ae5790bf,22,True,"[(232, 178)]",232,178,79,61,232,232,410,410,232,410,232,410,232,410,232,410,232,410,232,410,232,410,232,410,232,410,232,410,232,410.0,232.0,410.0,232.0,410.0,232.0,410.0,232.0,1.0,1.0
c2ff2932-0fb8-4c34-9055-9525ae5790bf,22,True,"[(178, 232)]",178,232,61,79,178,178,410,410,178,410,178,410,178,410,178,410,178,410,178,410,178,410,178,410,178,410,178,410,178,410.0,178.0,410.0,178.0,410.0,178.0,410.0,178.0,1.0,1.0
6689c51b-96c8-4318-9073-c179c96f5ece,68,True,"[(112, 134)]",112,134,49,35,112,61,210,246,112,246,112,246,112,246,112,246,112,246,112,246,112,246,112,246,112,246,112,246,112,246.0,112.0,246.0,112.0,246.0,112.0,246.0,112.0,1.1714285714285715,1.1714285714285715
6689c51b-96c8-4318-9073-c179c96f5ece,68,True,"[(134, 112)]",134,112,35,49,134,149,210,246,134,246,134,246,134,246,134,246,134,246,134,246,134,246,134,246,134,246,134,246,134,246.0,134.0,246.0,134.0,246.0,134.0,246.0,134.0,1.1714285714285715,1.1714285714285715
