eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
176b9b65-ace0-4640-95e8-705c45d5fbac,66,False,"[(173, 96), (168, 113), (159, 126)]",210,200,66,51,210,173,269,269,173,285,159,269,173,269,173,285,159,285,159,285,159,269,173,269,173,281,168,269,173,285.0,159.0,269.0,173.0,276.80179999999996,166.1735,275.5904,167.23329999999999,1.0594795539033457,1.0
4983722b-7540-4199-891b-20242447a01b,23,False,"[(180, 91), (173, 118)]",320,254,88,60,320,171,265,271,180,291,173,271,180,271,180,291,173,271,180,291,173,271,180,271,180,291,173,271,180,284.5294,175.2647,271.0,180.0,275.4658,178.437,271.0,180.0,1.0981132075471698,1.0226415094339623
4983722b-7540-4199-891b-20242447a01b,23,False,"[(91, 180), (118, 173)]",254,320,60,88,254,94,265,271,91,291,118,271,91,271,91,291,118,271,91,291,118,271,91,271,91,291,118,271,91,284.5294,109.2647,271.0,91.0,275.4658,97.02879999999999,271.0,91.0,1.0981132075471698,1.0226415094339623
830131b5-c746-482d-b46a-7c0d86f6ab43,66,True,"[(90, 78)]",90,78,28,23,90,90,168,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168.0,90.0,168.0,90.0,168.0,90.0,168.0,90.0,1.0,1.0
830131b5-c746-482d-b46a-7c0d86f6ab43,66,True,"[(78, 90)]",78,90,23,28,78,78,168,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168.0,78.0,168.0,78.0,168.0,78.0,168.0,78.0,1.0,1.0
940c7d34-28bb-4fd3-a9be-4d98b6207331,55,True,"[(188, 166)]",188,166,107,58,188,222,323,354,188,354,188,354,188,354,188,354,188,354,188,354,188,354,188,354,188,354,188,354,188,354.0,188.0,354.0,188.0,354.0,188.0,354.0,188.0,1.0959752321981424,1.0959752321981424
940c7d34-28bb-4fd3-a9be-4d98b6207331,55,True,"[(166, 188)]",166,188,58,107,166,101,323,354,166,354,166,354,166,354,166,354,166,354,166,354,166,354,166,354,166,354,166,354,166,354.0,166.0,354.0,166.0,354.0,166.0,354.0,166.0,1.0959752321981424,1.0959752321981424
9f41f51b-7110-4480-bd9f-c54c63d62c7b,56,True,"[(73, 150)]",100,210,36,52,100,73,223,223,73,223,73,223,73,223,73,223,73,223,73,223,73,223,73,223,73,223,73,223,73,223.0,73.0,223.0,73.0,223.0,73.0,223.0,73.0,1.0,1.0
9f41f51b-7110-4480-bd9f-c54c63d62c7b,56,True,"[(150, 73)]",210,100,52,36,210,150,223,223,150,223,150,223,150,223,150,223,150,223,150,223,150,223,150,223,150,223,150,223,150,223.0,150.0,223.0,150.0,223.0,150.0,223.0,150.0,1.0,1.0
fd146e0c-ec9f-4543-be3e-ff8adceb81fd,57,True,"[(112, 112)]",112,112,49,52,112,125,195,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224.0,112.0,224.0,112.0,224.0,112.0,224.0,112.0,1.1487179487179486,1.1487179487179486
fd146e0c-ec9f-4543-be3e-ff8adceb81fd,57,True,"[(112, 112)]",112,112,52,49,112,70,195,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224,112,224.0,112.0,224.0,112.0,224.0,112.0,224.0,112.0,1.1487179487179486,1.1487179487179486
b3cfe32b-2cbf-49cd-a3e9-b080403a4513,23,True,"[(78, 89), (65, 120), (61, 128)]",100,144,28,44,100,78,167,189,61,167,78,167,78,167,78,167,78,185,65,167,78,167,78,167,78,189,61,167,78,179.9642,67.9821,167.0,78.0,175.3754,71.5281,168.2776,77.0127,1.1317365269461077,1.0
