eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
9d2fcf78-13f9-49d6-9877-59cc95a2c8c3,134,True,"[(100, 166)]",100,166,36,35,100,100,266,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266.0,100.0,266.0,100.0,266.0,100.0,266.0,100.0,1.0,1.0
9d2fcf78-13f9-49d6-9877-59cc95a2c8c3,134,True,"[(166, 100)]",166,100,35,36,166,166,266,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266.0,166.0,266.0,166.0,266.0,166.0,266.0,166.0,1.0,1.0
d0a4059b-c79e-4480-9585-33045527b151,34,True,"[(100, 442)]",100,442,37,145,100,100,542,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542,100,542.0,100.0,542.0,100.0,542.0,100.0,542.0,100.0,1.0,1.0
d0a4059b-c79e-4480-9585-33045527b151,34,True,"[(442, 100)]",442,100,145,37,442,442,542,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542,442,542.0,442.0,542.0,442.0,542.0,442.0,542.0,442.0,1.0,1.0
b23bc26b-2aa6-4291-a8d4-ec239c7bea43,12,True,"[(81, 213), (86, 196)]",100,232,19,59,100,86,282,294,81,282,86,282,86,282,86,282,86,294,81,282,86,282,86,282,86,294,81,282,86,294.0,81.0,282.0104,85.9957,282.0,86.0,286.2942,84.2107,1.0425531914893618,1.0
b23bc26b-2aa6-4291-a8d4-ec239c7bea43,12,True,"[(213, 81), (196, 86)]",232,100,59,19,232,196,282,294,213,282,196,282,196,282,196,282,196,294,213,282,196,282,196,282,196,294,213,282,196,294.0,213.0,282.0104,196.0147,282.0,196.0,286.2942,202.08350000000002,1.0425531914893618,1.0
9e7e7acb-8eb2-432b-985c-d815af6f3496,143,True,"[(100, 56)]",100,56,23,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
9e7e7acb-8eb2-432b-985c-d815af6f3496,143,True,"[(56, 100)]",56,100,11,23,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
658a6c02-7e45-4f8e-a6da-244886263b8f,67,True,"[(100, 210)]",100,210,23,57,100,134,290,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0689655172413792,1.0689655172413792
658a6c02-7e45-4f8e-a6da-244886263b8f,67,True,"[(210, 100)]",210,100,57,23,210,156,290,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0689655172413792,1.0689655172413792
