eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
4d31b1f6-2614-41d8-afd5-cf5968dd9fb3,56,True,"[(100, 122)]",100,122,19,32,100,102,182,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.2197802197802199,1.2197802197802199
4d31b1f6-2614-41d8-afd5-cf5968dd9fb3,56,True,"[(122, 100)]",122,100,32,19,122,80,182,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.2197802197802199,1.2197802197802199
72966019-fb27-416d-9d82-fb51dc196aef,0,False,"[(70, 92), (57, 101), (48, 104)]",100,212,19,54,100,51,146,152,48,162,70,152,48,152,48,162,70,152,48,152,48,152,48,152,48,162,70,152,48,152.0,48.0,152.0,48.0,152.0,48.0,153.9118,52.2059,1.1095890410958904,1.0410958904109588
72966019-fb27-416d-9d82-fb51dc196aef,0,False,"[(92, 70), (101, 57), (104, 48)]",212,100,54,19,212,95,146,152,104,162,92,152,104,152,104,162,92,152,104,152,104,152,104,152,104,162,92,152,104,152.0,104.0,152.0,104.0,152.0,104.0,153.9118,101.7059,1.1095890410958904,1.0410958904109588
f60a115d-786e-4ac3-bba9-a208787b9ec4,12,True,"[(90, 166)]",90,166,19,62,90,90,256,256,90,256,90,256,90,256,90,256,90,256,90,256,90,256,90,256,90,256,90,256,90,256.0,90.0,256.0,90.0,256.0,90.0,256.0,90.0,1.0,1.0
f60a115d-786e-4ac3-bba9-a208787b9ec4,12,True,"[(166, 90)]",166,90,62,19,166,166,256,256,166,256,166,256,166,256,166,256,166,256,166,256,166,256,166,256,166,256,166,256,166,256.0,166.0,256.0,166.0,256.0,166.0,256.0,166.0,1.0,1.0
24f28666-27d9-46fe-9e7c-eedcbdd9896f,55,True,"[(100, 56)]",100,56,41,28,100,55,132,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.1818181818181819,1.1818181818181819
24f28666-27d9-46fe-9e7c-eedcbdd9896f,55,True,"[(56, 100)]",56,100,28,41,56,77,132,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.1818181818181819,1.1818181818181819
fe1e30ee-cbc8-4298-b938-95bc1ed95bca,56,True,"[(93, 159)]",100,166,19,67,100,53,216,252,93,252,93,252,93,252,93,252,93,252,93,252,93,252,93,252,93,252,93,252,93,252.0,93.0,252.0,93.0,252.0,93.0,252.0,93.0,1.1666666666666667,1.1666666666666667
fe1e30ee-cbc8-4298-b938-95bc1ed95bca,56,True,"[(159, 93)]",166,100,67,19,166,163,216,252,159,252,159,252,159,252,159,252,159,252,159,252,159,252,159,252,159,252,159,252,159,252.0,159.0,252.0,159.0,252.0,159.0,252.0,159.0,1.1666666666666667,1.1666666666666667
