eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
3f281a66-83e3-4859-83a4-802176b6c52b,89,True,"[(100, 34)]",100,34,46,16,100,100,134,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134.0,100.0,134.0,100.0,134.0,100.0,134.0,100.0,1.0,1.0
3f281a66-83e3-4859-83a4-802176b6c52b,89,True,"[(34, 100)]",34,100,16,46,34,34,134,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134.0,34.0,134.0,34.0,134.0,34.0,134.0,34.0,1.0,1.0
6d7b0278-bb51-498e-9415-cd4ada013a56,23,True,"[(68, 211)]",100,232,28,64,100,68,279,279,68,279,68,279,68,279,68,279,68,279,68,279,68,279,68,279,68,279,68,279,68,279.0,68.0,279.0,68.0,279.0,68.0,279.0,68.0,1.0,1.0
6d7b0278-bb51-498e-9415-cd4ada013a56,23,True,"[(211, 68)]",232,100,64,28,232,211,279,279,211,279,211,279,211,279,211,279,211,279,211,279,211,279,211,279,211,279,211,279,211,279.0,211.0,279.0,211.0,279.0,211.0,279.0,211.0,1.0,1.0
13de2a51-0fd1-44d6-87b5-0033a427dc5b,1,True,"[(108, 163)]",122,288,45,82,122,108,271,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271.0,108.0,271.0,108.0,271.0,108.0,271.0,108.0,1.0,1.0
13de2a51-0fd1-44d6-87b5-0033a427dc5b,1,True,"[(163, 108)]",288,122,82,45,288,163,271,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271.0,163.0,271.0,163.0,271.0,163.0,271.0,163.0,1.0,1.0
5662d0bd-2c4d-43d3-9ccb-0bbb4e197c58,11,True,"[(100, 56)]",100,56,31,15,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
5662d0bd-2c4d-43d3-9ccb-0bbb4e197c58,11,True,"[(56, 100)]",56,100,15,31,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
a485060e-4281-4e76-90fd-bb6864962dc2,123,True,"[(244, 244)]",244,244,86,77,244,134,389,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488.0,244.0,488.0,244.0,488.0,244.0,488.0,244.0,1.2544987146529563,1.2544987146529563
a485060e-4281-4e76-90fd-bb6864962dc2,123,True,"[(244, 244)]",244,244,77,86,244,255,389,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488,244,488.0,244.0,488.0,244.0,488.0,244.0,488.0,244.0,1.2544987146529563,1.2544987146529563
a1f1ac92-7cb8-47c2-a84b-ad085370fa84,77,True,"[(66, 143)]",100,188,19,53,100,57,203,209,66,209,66,209,66,209,66,209,66,209,66,209,66,209,66,209,66,209,66,209,66,209.0,66.0,209.0,66.0,209.0,66.0,209.0,66.0,1.0295566502463054,1.0295566502463054
a1f1ac92-7cb8-47c2-a84b-ad085370fa84,77,True,"[(143, 66)]",188,100,53,19,188,146,203,209,143,209,143,209,143,209,143,209,143,209,143,209,143,209,143,209,143,209,143,209,143,209.0,143.0,209.0,143.0,209.0,143.0,209.0,143.0,1.0295566502463054,1.0295566502463054
03af2735-2d32-4b28-b9a7-cb4e88ebc313,56,True,"[(100, 12)]",100,12,50,12,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112.0,100.0,112.0,100.0,112.0,100.0,112.0,100.0,1.0,1.0
