eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
f9249f16-0ecc-4b55-ac76-ec49051d4fda,38,False,"[(117, 78), (76, 95), (67, 106)]",344,344,47,39,344,70,159,173,67,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171,76,195,117,171,76,174.55820000000006,82.07850000000002,171.0,76.0,171.0,76.0,178.86200000000002,89.43100000000001,1.2264150943396226,1.0754716981132075
a262d8d1-e977-4a88-9ac3-8c79fc13b1df,1,False,"[(92, 131)]",438,458,75,92,438,95,209,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223.0,92.0,223.0,92.0,223.0,92.0,223.0,92.0,1.0669856459330143,1.0669856459330143
a262d8d1-e977-4a88-9ac3-8c79fc13b1df,1,False,"[(131, 92)]",458,438,92,75,458,114,209,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223.0,131.0,223.0,131.0,223.0,131.0,223.0,131.0,1.0669856459330143,1.0669856459330143
af9fdb21-d2e9-410c-ba87-2d28ece7f1e9,0,False,"[(179, 140), (133, 152), (124, 163)]",592,514,100,99,592,119,257,287,124,285,133,285,133,285,133,285,133,319,179,285,133,285,133,285,133,319,179,285,133,288.3523,137.5355,285.0,133.0,285.0,133.0,319.0,179.0,1.2412451361867705,1.1089494163424125
af9fdb21-d2e9-410c-ba87-2d28ece7f1e9,0,False,"[(140, 179), (152, 133), (163, 124)]",514,592,99,100,514,138,257,287,163,285,152,285,152,285,152,285,152,319,140,285,152,285,152,285,152,319,140,285,152,288.3523,150.8168,285.0,152.0,285.0,152.0,319.0,140.0,1.2412451361867705,1.1089494163424125
7030ea1c-c0f9-4c66-9e4d-09bc6175ef30,38,False,"[(128, 205), (247, 190)]",382,420,106,131,382,128,333,333,128,333,128,333,128,333,128,437,247,333,128,333,128,333,128,333,128,437,247,333,128,345.70820000000003,142.5411,333.0,128.0,333.0,128.0,363.2686,162.6343,1.3123123123123124,1.0
7030ea1c-c0f9-4c66-9e4d-09bc6175ef30,38,False,"[(205, 128), (190, 247)]",420,382,131,106,420,205,333,333,205,333,205,333,205,333,205,437,190,333,205,333,205,333,205,333,205,437,190,333,205,345.70820000000003,203.1671,333.0,205.0,333.0,205.0,363.2686,200.6343,1.3123123123123124,1.0
5804ff56-d1cf-4941-9db6-9e5166c92d4a,1,False,"[(73, 112), (114, 95), (129, 90)]",362,382,73,60,362,77,173,185,73,185,73,185,73,185,73,209,114,185,73,185,73,185,73,185,73,219,129,185,73,194.0371,88.4384,185.00030000000004,73.00040000000001,185.0,73.0,192.86199999999997,86.43099999999998,1.2658959537572254,1.069364161849711
5804ff56-d1cf-4941-9db6-9e5166c92d4a,1,False,"[(112, 73), (95, 114), (90, 129)]",382,362,60,73,382,96,173,185,112,185,112,185,112,185,112,209,95,185,112,185,112,185,112,185,112,219,90,185,112,194.0371,105.59870000000001,185.00030000000004,111.99990000000003,185.0,112.0,192.86199999999997,106.43099999999998,1.2658959537572254,1.069364161849711
01d3d0ca-4034-4ece-ae7f-0fef3bc34c10,38,False,"[(456, 209)]",990,762,247,192,990,456,665,665,456,665,456,665,456,665,456,665,456,665,456,665,456,665,456,665,456,665,456,665,456,665.0,456.0,665.0,456.0,665.0,456.0,665.0,456.0,1.0,1.0
