eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
f74cf07a-45e0-431d-ac7c-c31492f0846b,6,False,"[(219, 212)]",296,296,211,211,296,219,431,431,219,431,219,431,219,431,219,431,219,431,219,431,219,431,219,431,219,431,219,431,219,431.0,219.0,431.0,219.0,431.0,219.0,431.0,219.0,1.0,1.0
965cd361-24de-4b07-a4c4-11c53b9c402e,6,False,"[(43, 50)]",56,56,42,42,56,43,93,93,43,93,43,93,43,93,43,93,43,93,43,93,43,93,43,93,43,93,43,93,43,93.0,43.0,93.0,43.0,93.0,43.0,93.0,43.0,1.0,1.0
965cd361-24de-4b07-a4c4-11c53b9c402e,6,False,"[(50, 43)]",56,56,42,42,56,50,93,93,50,93,50,93,50,93,50,93,50,93,50,93,50,93,50,93,50,93,50,93,50,93.0,50.0,93.0,50.0,93.0,50.0,93.0,50.0,1.0,1.0
ccae175f-6fd8-412e-b8bc-12fb1370c53b,0,False,"[(40, 33)]",54,40,39,27,54,40,73,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73.0,40.0,73.0,40.0,73.0,40.0,73.0,40.0,1.0,1.0
ccae175f-6fd8-412e-b8bc-12fb1370c53b,0,False,"[(33, 40)]",40,54,27,39,40,33,73,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73.0,33.0,73.0,33.0,73.0,33.0,73.0,33.0,1.0,1.0
e4dd21ba-4f79-463a-a803-e347b92c012c,3,False,"[(47, 44)]",58,58,44,42,58,47,91,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91.0,47.0,91.0,47.0,91.0,47.0,91.0,47.0,1.0,1.0
e4dd21ba-4f79-463a-a803-e347b92c012c,3,False,"[(44, 47)]",58,58,42,44,58,44,91,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91.0,44.0,91.0,44.0,91.0,44.0,91.0,44.0,1.0,1.0
22f0c799-2cf6-4b1c-920b-840e784a5b81,6,False,"[(50, 57)]",68,68,49,49,68,50,107,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107.0,50.0,107.0,50.0,107.0,50.0,107.0,50.0,1.0,1.0
22f0c799-2cf6-4b1c-920b-840e784a5b81,6,False,"[(57, 50)]",68,68,49,49,68,57,107,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107.0,57.0,107.0,57.0,107.0,57.0,107.0,57.0,1.0,1.0
fabc4818-1043-4b49-8fe4-af131688d1bd,3,True,"[(58, 61)]",70,70,52,55,70,58,119,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119.0,58.0,119.0,58.0,119.0,58.0,119.0,58.0,1.0,1.0
