eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
428846eb-83cd-4789-95e7-86f16c5cd46a,0,False,"[(329, 210), (356, 101)]",700,392,148,81,700,356,457,457,356,539,329,457,356,457,356,539,329,457,356,457,356,457,356,457,356,539,329,457,356,470.3401,351.6075,457.0,356.0,457.0,356.0,457.0,356.0,1.1794310722100656,1.0
428846eb-83cd-4789-95e7-86f16c5cd46a,0,False,"[(210, 329), (101, 356)]",392,700,81,148,392,101,457,457,101,539,210,457,101,457,101,539,210,457,101,457,101,457,101,457,101,539,210,457,101,470.3401,118.73259999999999,457.0,101.0,457.0,101.0,457.0,101.0,1.1794310722100656,1.0
60236e0a-d204-48e8-b9ca-22d23934a490,34,False,"[(225, 242)]",750,732,195,192,750,225,467,467,225,467,225,467,225,467,225,467,225,467,225,467,225,467,225,467,225,467,225,467,225,467.0,225.0,467.0,225.0,467.0,225.0,467.0,225.0,1.0,1.0
60236e0a-d204-48e8-b9ca-22d23934a490,34,False,"[(242, 225)]",732,750,192,195,732,242,467,467,242,467,242,467,242,467,242,467,242,467,242,467,242,467,242,467,242,467,242,467,242,467.0,242.0,467.0,242.0,467.0,242.0,467.0,242.0,1.0,1.0
e5cf4958-de34-444e-a69d-a465208c9e2a,34,False,"[(133, 116), (121, 138)]",376,358,106,92,376,129,241,249,133,249,133,249,133,249,133,249,133,249,133,249,133,249,133,249,133,259,121,249,133,252.41089999999997,128.907,249.0,133.0,249.0,133.0,249.0,133.0,1.0746887966804979,1.033195020746888
e5cf4958-de34-444e-a69d-a465208c9e2a,34,False,"[(116, 133), (138, 121)]",358,376,92,106,358,112,241,249,116,249,116,249,116,249,116,249,116,249,116,249,116,249,116,249,116,259,138,249,116,252.41089999999997,123.50389999999999,249.0,116.0,249.0,116.0,249.0,116.0,1.0746887966804979,1.033195020746888
0c805b2a-8e7d-48ae-b299-3deb6d055775,0,False,"[(56, 91), (79, 62)]",324,376,39,46,324,59,135,147,56,141,79,141,79,141,79,141,79,147,56,147,56,141,79,141,79,147,56,141,79,143.8899,67.92180000000002,141.52620000000002,76.9827,141.0,79.0,147.0,56.0,1.0888888888888888,1.0444444444444445
0c805b2a-8e7d-48ae-b299-3deb6d055775,0,False,"[(91, 56), (62, 79)]",376,324,46,39,376,76,135,147,91,141,62,141,62,141,62,141,62,147,91,147,91,141,62,141,62,147,91,141,62,143.8899,75.96809999999999,141.52620000000002,64.5435,141.0,62.0,147.0,91.0,1.0888888888888888,1.0444444444444445
c4dd0e61-6da5-4ecd-ba74-6b29a8fcc603,0,False,"[(135, 170)]",324,410,99,125,324,135,305,305,135,305,135,305,135,305,135,305,135,305,135,305,135,305,135,305,135,305,135,305,135,305.0,135.0,305.0,135.0,305.0,135.0,305.0,135.0,1.0,1.0
c4dd0e61-6da5-4ecd-ba74-6b29a8fcc603,0,False,"[(170, 135)]",410,324,125,99,410,170,305,305,170,305,170,305,170,305,170,305,170,305,170,305,170,305,170,305,170,305,170,305,170,305.0,170.0,305.0,170.0,305.0,170.0,305.0,170.0,1.0,1.0
