eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
7233e1bc-b6b4-42f1-adde-4bc05d72db4f,42,False,"[(106, 149), (107, 64)]",380,380,42,43,380,88,155,171,107,171,107,171,107,171,107,255,106,171,107,171,107,171,107,171,107,255,106,171,107,171.0,107.0,171.0,107.0,172.12440000000004,106.98660000000001,213.0,106.5,1.6451612903225807,1.103225806451613
7233e1bc-b6b4-42f1-adde-4bc05d72db4f,42,False,"[(149, 106), (64, 107)]",380,380,43,42,380,67,155,171,64,171,64,171,64,171,64,255,149,171,64,171,64,171,64,171,64,255,149,171,64,171.0,64.0,171.0,64.0,172.12440000000004,65.13780000000003,213.0,106.5,1.6451612903225807,1.103225806451613
6bad5f75-8c21-4b71-8513-04f65f29fc6a,22,False,"[(295, 252)]",1114,1136,233,233,1114,276,531,547,295,547,295,547,295,547,295,547,295,547,295,547,295,547,295,547,295,547,295,547,295,547.0,295.0,547.0,295.0,547.0,295.0,547.0,295.0,1.0301318267419963,1.0301318267419963
6bad5f75-8c21-4b71-8513-04f65f29fc6a,22,False,"[(252, 295)]",1136,1114,233,233,1136,255,531,547,252,547,252,547,252,547,252,547,252,547,252,547,252,547,252,547,252,547,252,547,252,547.0,252.0,547.0,252.0,547.0,252.0,547.0,252.0,1.0301318267419963,1.0301318267419963
f922afe8-3779-4c0f-81c8-3adb8ad79932,21,False,"[(111, 68), (93, 72), (74, 95)]",422,400,50,47,422,92,163,179,111,165,93,165,93,165,93,165,93,165,93,165,93,165,93,165,93,179,111,165,93,165.00009999999997,93.00009999999997,165.0,93.0,166.37390000000005,86.47370000000001,165.63639999999998,93.81819999999999,1.098159509202454,1.0122699386503067
f922afe8-3779-4c0f-81c8-3adb8ad79932,21,False,"[(68, 111), (72, 93), (95, 74)]",400,422,47,50,400,71,163,179,68,165,72,165,72,165,72,165,72,165,72,165,72,165,72,165,72,179,68,165,72,165.00009999999997,72.0,165.0,72.0,166.37390000000005,79.90019999999998,165.63639999999998,71.81819999999999,1.098159509202454,1.0122699386503067
5c0e891a-d451-44e6-99f5-866549c650af,42,False,"[(91, 112), (102, 81), (109, 66)]",380,380,50,43,380,90,159,175,109,183,102,175,109,175,109,203,91,183,102,183,102,175,109,175,109,203,91,175,109,175.00009999999997,109.0,175.0,109.0,181.9212,102.94400000000002,193.0,96.5,1.2767295597484276,1.10062893081761
5c0e891a-d451-44e6-99f5-866549c650af,42,False,"[(112, 91), (81, 102), (66, 109)]",380,380,43,50,380,69,159,175,66,183,81,175,66,175,66,203,112,183,81,183,81,175,66,175,66,203,112,175,66,175.00009999999997,66.00009999999997,175.0,66.0,181.9212,78.97719999999998,193.0,96.5,1.2767295597484276,1.10062893081761
69129b58-2ab8-4837-8fa6-0ea7ed3b53c7,0,False,"[(491, 512), (476, 519)]",1492,1578,452,462,1492,479,979,995,476,1003,491,995,476,995,476,1003,491,995,476,995,476,995,476,995,476,1003,491,995,476,995.0,476.0,995.0,476.0,997.4628000000002,480.6178,995.0,476.0,1.0245148110316649,1.0163432073544434
69129b58-2ab8-4837-8fa6-0ea7ed3b53c7,0,False,"[(512, 491), (519, 476)]",1578,1492,462,452,1578,500,979,995,519,1003,512,995,519,995,519,1003,512,995,519,995,519,995,519,995,519,1003,512,995,519,995.0,519.0,995.0,519.0,997.4628000000002,516.845,995.0,519.0,1.0245148110316649,1.0163432073544434
