eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fe917165-9476-4155-ac7a-82e0f1b94bde,11,True,"[(860, 332)]",860,332,286,111,860,862,1185,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1192,860,1.0059071729957807,1.0059071729957807
fe917165-9476-4155-ac7a-82e0f1b94bde,11,True,"[(332, 860)]",332,860,111,286,332,323,1185,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1192,332,1.0059071729957807,1.0059071729957807
1572865c-62fe-4e75-a850-952bc403a26c,22,False,"[(58, 69), (51, 74)]",200,200,42,42,200,54,119,125,51,127,58,125,51,125,51,127,58,127,58,127,58,125,51,125,51,127,58,125,51,125.0,51.0,125.8965,54.1378,127.0,58.0,125.0,51.0,1.0672268907563025,1.050420168067227
1572865c-62fe-4e75-a850-952bc403a26c,22,False,"[(69, 58), (74, 51)]",200,200,42,42,200,65,119,125,74,127,69,125,74,125,74,127,69,127,69,127,69,125,74,125,74,127,69,125,74,125.0,74.0,125.8965,71.7587,127.0,69.0,125.0,74.0,1.0672268907563025,1.050420168067227
b095ac1f-a27a-4479-8db4-5fb897067a71,0,False,"[(68, 45)]",190,144,41,31,190,59,107,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,1.0560747663551402,1.0560747663551402
b095ac1f-a27a-4479-8db4-5fb897067a71,0,False,"[(45, 68)]",144,190,31,41,144,48,107,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,1.0560747663551402,1.0560747663551402
06b36fbf-7cdb-4461-8ae8-ffe20019bd20,0,True,"[(454, 166)]",454,166,129,40,454,224,425,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,620,454,1.4588235294117646,1.4588235294117646
06b36fbf-7cdb-4461-8ae8-ffe20019bd20,0,True,"[(166, 454)]",166,454,40,129,166,201,425,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,620,166,1.4588235294117646,1.4588235294117646
71ff26ce-3c12-4253-a136-e93dffd57891,0,False,"[(57, 46)]",200,166,42,35,200,57,103,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,103,57,1.0,1.0
71ff26ce-3c12-4253-a136-e93dffd57891,0,False,"[(46, 57)]",166,200,35,42,166,46,103,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,103,46,1.0,1.0
