eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
81d619ad-7bd6-44a8-8a7f-5aa5726f098f,31,False,"[(368, 353), (372, 341)]",1052,1142,262,315,1052,359,703,713,372,721,368,713,372,713,372,721,368,721,368,721,368,713,372,713,372,721,368,713,372,715.2460999999998,370.87699999999995,713.0,372.0,721.0,368.0,713.0,372.0,1.0256045519203414,1.0142247510668563
5918602c-b987-4be7-b273-27a3ad71bd5a,1,False,"[(84, 69), (72, 103)]",286,302,58,51,286,84,153,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,175,72,153,84,159.10720000000003,80.6688,153.0,84.0,167.82600000000002,75.91300000000001,153.0,84.0,1.1437908496732025,1.0
5918602c-b987-4be7-b273-27a3ad71bd5a,1,False,"[(69, 84), (103, 72)]",302,286,51,58,302,69,153,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,175,103,153,69,159.10720000000003,78.4384,153.0,69.0,167.82600000000002,91.91300000000001,153.0,69.0,1.1437908496732025,1.0
c6548098-918d-477c-b23e-28e3d412de2a,15,False,"[(196, 241), (203, 158)]",376,346,129,125,376,203,361,361,203,361,203,361,203,361,203,437,196,361,203,361,203,361,203,361,203,437,196,361,203,367.15250000000003,202.4333,361.0,203.0,373.6666,201.8333,361.0,203.0,1.2105263157894737,1.0
c6548098-918d-477c-b23e-28e3d412de2a,15,False,"[(241, 196), (158, 203)]",346,376,125,129,346,158,361,361,158,361,158,361,158,361,158,437,241,361,158,361,158,361,158,361,158,437,241,361,158,367.15250000000003,164.7192,361.0,158.0,373.6666,171.8333,361.0,158.0,1.2105263157894737,1.0
c6cf263c-fad9-4a9a-94e1-0037ad35e4ca,0,False,"[(212, 227), (200, 231)]",676,738,182,205,676,203,421,431,200,439,212,431,200,431,200,439,212,431,200,431,200,431,200,431,200,439,212,431,200,432.8955000000001,202.84320000000002,431.0,200.0,431.0,200.0,431.0,200.0,1.0427553444180522,1.0237529691211402
c6cf263c-fad9-4a9a-94e1-0037ad35e4ca,0,False,"[(227, 212), (231, 200)]",738,676,205,182,738,218,421,431,231,439,227,431,231,431,231,439,227,431,231,431,231,431,231,431,231,439,227,431,231,432.8955000000001,230.0523,431.0,231.0,431.0,231.0,431.0,231.0,1.0427553444180522,1.0237529691211402
20f3c847-d639-4a0c-8561-4e0754f201b7,30,False,"[(134, 103)]",272,272,103,90,272,134,237,237,134,237,134,237,134,237,134,237,134,237,134,237,134,237,134,237,134,237,134,237,134,237.0,134.0,237.0,134.0,237.0,134.0,237.0,134.0,1.0,1.0
20f3c847-d639-4a0c-8561-4e0754f201b7,30,False,"[(103, 134)]",272,272,90,103,272,103,237,237,103,237,103,237,103,237,103,237,103,237,103,237,103,237,103,237,103,237,103,237,103,237.0,103.0,237.0,103.0,237.0,103.0,237.0,103.0,1.0,1.0
a94da25c-07cd-4a0b-b061-8bf03700e3de,0,False,"[(238, 207), (213, 228)]",798,706,198,172,798,225,435,445,238,441,213,441,213,441,213,441,213,445,238,445,238,441,213,441,213,445,238,441,213,442.9847,225.40409999999997,442.27600000000007,220.97540000000004,445.0,238.0,441.0,213.0,1.0229885057471264,1.013793103448276
a94da25c-07cd-4a0b-b061-8bf03700e3de,0,False,"[(207, 238), (228, 213)]",706,798,172,198,706,210,435,445,207,441,228,441,228,441,228,441,228,445,207,445,207,441,228,441,228,445,207,441,228,442.9847,217.5806,442.27600000000007,221.30059999999997,445.0,207.0,441.0,228.0,1.0229885057471264,1.013793103448276
8eccf8a2-cf60-4287-8065-4bdb1af9ddd2,15,False,"[(412, 397), (425, 380), (494, 299), (490, 325), (486, 351), (438, 363)]",1006,946,222,169,1006,494,793,793,494,809,412,793,494,793,494,809,412,801,438,809,412,793,494,793,494,837,486,793,494,798.7164,453.9851,796.866,466.9375,803.0,431.5,793.0,494.0,1.055485498108449,1.0
8eccf8a2-cf60-4287-8065-4bdb1af9ddd2,15,False,"[(397, 412), (380, 425), (299, 494), (325, 490), (351, 486), (363, 438)]",946,1006,169,222,946,299,793,793,299,809,397,793,299,793,299,809,397,801,363,809,397,793,299,793,299,837,351,793,299,798.7164,344.73130000000003,796.866,329.9285,803.0,371.5,793.0,299.0,1.055485498108449,1.0
27d11999-5ed1-4b1d-8c63-9c738afd4fba,31,False,"[(518, 487)]",632,886,172,240,632,505,995,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005,518,1005.0,518.0,1005.0,518.0,1005.0,518.0,1005.0,518.0,1.0100502512562815,1.0100502512562815
27d11999-5ed1-4b1d-8c63-9c738afd4fba,31,False,"[(487, 518)]",886,632,240,172,886,490,995,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005,487,1005.0,487.0,1005.0,487.0,1005.0,487.0,1005.0,487.0,1.0100502512562815,1.0100502512562815
d17ff0ca-3fb6-46da-9719-3806c3f57505,30,False,"[(101, 86), (51, 96)]",272,286,42,39,272,51,147,147,51,147,51,147,51,147,51,187,101,147,51,147,51,147,51,147,51,187,101,147,51,154.24,60.05000000000001,147.0,51.0,167.66660000000002,76.83330000000001,147.0,51.0,1.272108843537415,1.0
d17ff0ca-3fb6-46da-9719-3806c3f57505,30,False,"[(86, 101), (96, 51)]",286,272,39,42,286,96,147,147,96,147,96,147,96,147,96,187,86,147,96,147,96,147,96,147,96,187,86,147,96,154.24,94.19,147.0,96.0,167.66660000000002,90.83330000000001,147.0,96.0,1.272108843537415,1.0
06ce0c29-dff5-4a0e-a0ba-667ffd07a9ba,31,False,"[(84, 69)]",286,316,39,43,286,84,153,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153,84,153.0,84.0,153.0,84.0,153.0,84.0,153.0,84.0,1.0,1.0
06ce0c29-dff5-4a0e-a0ba-667ffd07a9ba,31,False,"[(69, 84)]",316,286,43,39,316,69,153,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153,69,153.0,69.0,153.0,69.0,153.0,69.0,153.0,69.0,1.0,1.0
ad285127-c24f-4734-9952-66eef9007c72,31,False,"[(68, 83)]",286,286,42,50,286,55,141,151,68,151,68,151,68,151,68,151,68,151,68,151,68,151,68,151,68,151,68,151,68,151.0,68.0,151.0,68.0,151.0,68.0,151.0,68.0,1.070921985815603,1.070921985815603
ad285127-c24f-4734-9952-66eef9007c72,31,False,"[(83, 68)]",286,286,50,42,286,86,141,151,83,151,83,151,83,151,83,151,83,151,83,151,83,151,83,151,83,151,83,151,83,151.0,83.0,151.0,83.0,151.0,83.0,151.0,83.0,1.070921985815603,1.070921985815603
1e8688f8-fc9f-487d-ba1e-73a4972edc7a,0,False,"[(76, 107), (79, 94), (116, 85)]",286,348,52,70,286,79,173,183,76,173,79,173,79,173,79,173,79,183,76,173,79,173,79,173,79,201,116,173,79,175.6528,82.50550000000001,173.00009999999997,79.0001,183.0,76.0,173.0,79.0,1.1618497109826589,1.0
1e8688f8-fc9f-487d-ba1e-73a4972edc7a,0,False,"[(107, 76), (94, 79), (85, 116)]",348,286,70,52,348,94,173,183,107,173,94,173,94,173,94,173,94,183,107,173,94,173,94,173,94,201,85,173,94,175.6528,93.1473,173.00009999999997,94.0,183.0,107.0,173.0,94.0,1.1618497109826589,1.0
cbcca994-8f40-4098-9c8f-9a47efc1e46b,0,False,"[(123, 108)]",318,226,75,63,318,123,231,231,123,231,123,231,123,231,123,231,123,231,123,231,123,231,123,231,123,231,123,231,123,231.0,123.0,231.0,123.0,231.0,123.0,231.0,123.0,1.0,1.0
cbcca994-8f40-4098-9c8f-9a47efc1e46b,0,False,"[(108, 123)]",226,318,63,75,226,108,231,231,108,231,108,231,108,231,108,231,108,231,108,231,108,231,108,231,108,231,108,231,108,231.0,108.0,231.0,108.0,231.0,108.0,231.0,108.0,1.0,1.0
006d0ab6-781e-413e-88d0-c52445c87a8a,30,False,"[(674, 509)]",1156,1022,296,289,1156,679,1163,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183,674,1183.0,674.0,1183.0,674.0,1183.0,674.0,1183.0,674.0,1.0171969045571798,1.0171969045571798
006d0ab6-781e-413e-88d0-c52445c87a8a,30,False,"[(509, 674)]",1022,1156,289,296,1022,484,1163,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183,509,1183.0,509.0,1183.0,509.0,1183.0,509.0,1183.0,509.0,1.0171969045571798,1.0171969045571798
5afb3707-7ca6-43e0-aa06-804537367fe4,15,False,"[(71, 102), (84, 99), (89, 74)]",286,226,71,56,286,89,163,173,71,163,89,163,89,163,89,183,84,163,89,163,89,163,89,163,89,183,84,163,89,166.12469999999996,83.37549999999999,163.0,89.0,163.0,89.0,163.0,89.0,1.1226993865030674,1.0
5afb3707-7ca6-43e0-aa06-804537367fe4,15,False,"[(102, 71), (99, 84), (74, 89)]",226,286,56,71,226,74,163,173,102,163,74,163,74,163,74,183,99,163,74,163,74,163,74,163,74,183,99,163,74,166.12469999999996,82.7492,163.0,74.0,163.0,74.0,163.0,74.0,1.1226993865030674,1.0
644f0a3a-84e2-486a-9b18-735ae4515c9c,31,False,"[(482, 513)]",1502,1442,447,448,1502,485,985,995,482,995,482,995,482,995,482,995,482,995,482,995,482,995,482,995,482,995,482,995,482,995.0,482.0,995.0,482.0,995.0,482.0,995.0,482.0,1.0101522842639594,1.0101522842639594
644f0a3a-84e2-486a-9b18-735ae4515c9c,31,False,"[(513, 482)]",1442,1502,448,447,1442,500,985,995,513,995,513,995,513,995,513,995,513,995,513,995,513,995,513,995,513,995,513,995,513,995.0,513.0,995.0,513.0,995.0,513.0,995.0,513.0,1.0101522842639594,1.0101522842639594
9b268ca9-8232-495a-8414-4438383925e9,30,False,"[(348, 77)]",512,272,127,64,512,323,421,425,348,425,348,425,348,425,348,425,348,425,348,425,348,425,348,425,348,425,348,425,348,425.0,348.0,425.0,348.0,425.0,348.0,425.0,348.0,1.009501187648456,1.009501187648456
9b268ca9-8232-495a-8414-4438383925e9,30,False,"[(77, 348)]",272,512,64,127,272,98,421,425,77,425,77,425,77,425,77,425,77,425,77,425,77,425,77,425,77,425,77,425,77,425.0,77.0,425.0,77.0,425.0,77.0,425.0,77.0,1.009501187648456,1.009501187648456
