eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
2c340b83-65af-49bc-ac3a-b36e327cc6cc,22,False,"[(107, 96), (90, 101)]",266,266,90,78,266,90,191,191,90,191,90,191,90,191,90,203,107,191,90,191,90,191,90,191,90,203,107,191,90,191.0,90.0,191.0,90.0,193.80110000000002,93.9682,197.0,98.5,1.0628272251308901,1.0
2c340b83-65af-49bc-ac3a-b36e327cc6cc,22,False,"[(96, 107), (101, 90)]",266,266,78,90,266,101,191,191,101,191,101,191,101,191,101,203,96,191,101,191,101,191,101,191,101,203,96,191,101,191.0,101.0,191.0,101.0,193.80110000000002,99.8329,197.0,98.5,1.0628272251308901,1.0
166257ed-c9cc-4631-bc98-ab06dceeef42,0,False,"[(171, 182), (167, 190)]",320,376,99,136,320,170,351,357,167,353,171,353,171,353,171,353,171,357,167,357,167,353,171,353,171,357,167,353,171,353.0,171.0,353.0,171.0,354.552,169.448,357.0,167.0,1.017094017094017,1.0056980056980056
166257ed-c9cc-4631-bc98-ab06dceeef42,0,False,"[(182, 171), (190, 167)]",376,320,136,99,376,181,351,357,190,353,182,353,182,353,182,353,182,357,190,357,190,353,182,353,182,357,190,353,182,353.0,182.0,353.0,182.0,354.552,185.104,357.0,190.0,1.017094017094017,1.0056980056980056
a3efead7-28db-485d-b605-dc5fac01fa98,11,False,"[(65, 54), (60, 71)]",200,166,43,31,200,65,119,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,131,60,119,65,119.0,65.0,119.0,65.0,121.28569999999999,64.04759999999999,119.0,65.0,1.1008403361344539,1.0
a3efead7-28db-485d-b605-dc5fac01fa98,11,False,"[(54, 65), (71, 60)]",166,200,31,43,166,54,119,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,131,71,119,54,119.0,54.0,119.0,54.0,121.28569999999999,57.2381,119.0,54.0,1.1008403361344539,1.0
382dcf62-2ce3-4916-95c7-8270d6751476,1,False,"[(58, 81)]",210,222,47,54,210,61,133,139,58,139,58,139,58,139,58,139,58,139,58,139,58,139,58,139,58,139,58,139,58,139.0,58.0,139.0,58.0,139.0,58.0,139.0,58.0,1.0451127819548873,1.0451127819548873
382dcf62-2ce3-4916-95c7-8270d6751476,1,False,"[(81, 58)]",222,210,54,47,222,72,133,139,81,139,81,139,81,139,81,139,81,139,81,139,81,139,81,139,81,139,81,139,81,139.0,81.0,139.0,81.0,139.0,81.0,139.0,81.0,1.0451127819548873,1.0451127819548873
5533d085-ccbc-4c54-a137-ed659265ef2e,1,True,"[(94, 71), (90, 79)]",222,210,67,57,222,85,159,165,94,169,90,165,94,165,94,169,90,169,90,169,90,165,94,165,94,169,90,165,94,165.0,94.0,165.0,94.0,166.37959999999998,92.62029999999999,168.66660000000002,90.33330000000001,1.0628930817610063,1.0377358490566038
5533d085-ccbc-4c54-a137-ed659265ef2e,1,True,"[(71, 94), (79, 90)]",210,222,57,67,210,74,159,165,71,169,79,165,71,165,71,169,79,169,79,169,79,165,71,165,71,169,79,165,71,165.0,71.0,165.0,71.0,166.37959999999998,73.7593,168.66660000000002,78.33330000000001,1.0628930817610063,1.0377358490566038
