eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
c652fc60-5835-4b52-9eec-48724b55fcf2,27,False,"[(731, 758), (761, 748)]",1496,912,435,270,1496,750,1487,1489,731,1489,731,1489,731,1489,731,1509,761,1509,761,1509,761,1489,731,1509,761,1489,731,1489,731,1489.0,731.0,1509.0,761.0,1501.1718999999998,749.2578,1509.0,761.0,1.0147948890383323,1.0013449899125757
c652fc60-5835-4b52-9eec-48724b55fcf2,27,False,"[(758, 731), (748, 761)]",912,1496,270,435,912,737,1487,1489,758,1489,758,1489,758,1489,758,1509,748,1509,748,1509,748,1489,758,1509,748,1489,758,1489,758,1489.0,758.0,1509.0,748.0,1501.1718999999998,751.9141,1509.0,748.0,1.0147948890383323,1.0013449899125757
ee6c3302-67bf-4631-ae27-fe7e56c2dc7d,0,False,"[(88, 115)]",248,302,72,93,248,91,195,203,88,203,88,203,88,203,88,203,88,203,88,203,88,203,88,203,88,203,88,203,88,203.0,88.0,203.0,88.0,203.0,88.0,203.0,88.0,1.041025641025641,1.041025641025641
ee6c3302-67bf-4631-ae27-fe7e56c2dc7d,0,False,"[(115, 88)]",302,248,93,72,302,104,195,203,115,203,115,203,115,203,115,203,115,203,115,203,115,203,115,203,115,203,115,203,115,203.0,115.0,203.0,115.0,203.0,115.0,203.0,115.0,1.041025641025641,1.041025641025641
801b0594-dfdd-49e5-878f-7ca2b0eb76e8,26,False,"[(226, 253)]",782,782,226,215,782,229,471,479,226,479,226,479,226,479,226,479,226,479,226,479,226,479,226,479,226,479,226,479,226,479.0,226.0,479.0,226.0,479.0,226.0,479.0,226.0,1.0169851380042463,1.0169851380042463
801b0594-dfdd-49e5-878f-7ca2b0eb76e8,26,False,"[(253, 226)]",782,782,215,226,782,242,471,479,253,479,253,479,253,479,253,479,253,479,253,479,253,479,253,479,253,479,253,479,253,479.0,253.0,479.0,253.0,479.0,253.0,479.0,253.0,1.0169851380042463,1.0169851380042463
01d5a1bc-cc60-48d9-8558-c5dc2dd2955b,26,False,"[(80, 93)]",314,300,69,66,314,80,173,173,80,173,80,173,80,173,80,173,80,173,80,173,80,173,80,173,80,173,80,173,80,173.0,80.0,173.0,80.0,173.0,80.0,173.0,80.0,1.0,1.0
01d5a1bc-cc60-48d9-8558-c5dc2dd2955b,26,False,"[(93, 80)]",300,314,66,69,300,93,173,173,93,173,93,173,93,173,93,173,93,173,93,173,93,173,93,173,93,173,93,173,93,173.0,93.0,173.0,93.0,173.0,93.0,173.0,93.0,1.0,1.0
9c6d218f-81ca-4176-9992-74b98557a603,1,False,"[(97, 110), (93, 120)]",300,314,80,83,300,96,205,213,93,207,97,207,97,207,97,207,97,207,97,207,97,207,97,207,97,213,93,207,97,207.0,97.0,207.0,97.0,208.69640000000004,95.869,207.42860000000002,96.71430000000001,1.0390243902439025,1.0097560975609756
9c6d218f-81ca-4176-9992-74b98557a603,1,False,"[(110, 97), (120, 93)]",314,300,83,80,314,109,205,213,120,207,110,207,110,207,110,207,110,207,110,207,110,207,110,207,110,213,120,207,110,207.0,110.0,207.0,110.0,208.69640000000004,112.82740000000001,207.42860000000002,110.71430000000001,1.0390243902439025,1.0097560975609756
