eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
c569d9e1-d843-4135-a4c9-eed665623ec1,0,False,"[(401, 412), (405, 410)]",876,892,396,403,876,404,813,813,401,815,405,813,401,813,401,815,405,813,401,813,401,813,401,813,401,815,405,813,401,813.6602,402.3204,813.0,401.0,813.0,401.0,813.0,401.0,1.002460024600246,1.0
c569d9e1-d843-4135-a4c9-eed665623ec1,0,False,"[(412, 401), (410, 405)]",892,876,403,396,892,409,813,813,412,815,410,813,412,813,412,815,410,813,412,813,412,813,412,813,412,815,410,813,412,813.6602,411.3398,813.0,412.0,813.0,412.0,813.0,412.0,1.002460024600246,1.0
19716e9f-86c1-49c8-a6c1-f4367bf380a0,5,False,"[(54, 59), (51, 62)]",96,96,48,48,96,51,113,113,51,113,54,113,54,113,54,113,54,113,54,113,54,113,54,113,54,113,51,113,54,113.0,52.6463,113.0,53.9998,113.0,54.0,113.0,51.0,1.0,1.0
19716e9f-86c1-49c8-a6c1-f4367bf380a0,5,False,"[(59, 54), (62, 51)]",96,96,48,48,96,62,113,113,62,113,59,113,59,113,59,113,59,113,59,113,59,113,59,113,59,113,62,113,59,113.0,60.3537,113.0,59.0002,113.0,59.0,113.0,62.0,1.0,1.0
4eda385c-0cb7-4598-8c57-d110dc027048,0,False,"[(46, 35)]",88,66,38,27,88,46,81,81,46,81,46,81,46,81,46,81,46,81,46,81,46,81,46,81,46,81,46,81,46,81.0,46.0,81.0,46.0,81.0,46.0,81.0,46.0,1.0,1.0
4eda385c-0cb7-4598-8c57-d110dc027048,0,False,"[(35, 46)]",66,88,27,38,66,35,81,81,35,81,35,81,35,81,35,81,35,81,35,81,35,81,35,81,35,81,35,81,35,81.0,35.0,81.0,35.0,81.0,35.0,81.0,35.0,1.0,1.0
05e59869-ff7e-434a-9400-f1bb1e8f7596,6,False,"[(63, 58)]",106,112,52,55,106,63,121,121,63,121,63,121,63,121,63,121,63,121,63,121,63,121,63,121,63,121,63,121,63,121.0,63.0,121.0,63.0,121.0,63.0,121.0,63.0,1.0,1.0
05e59869-ff7e-434a-9400-f1bb1e8f7596,6,False,"[(58, 63)]",112,106,55,52,112,58,121,121,58,121,58,121,58,121,58,121,58,121,58,121,58,121,58,121,58,121,58,121,58,121.0,58.0,121.0,58.0,121.0,58.0,121.0,58.0,1.0,1.0
cdd16733-9be2-4300-801a-f343ec909b4e,10,False,"[(118, 209)]",232,312,115,163,232,121,327,327,118,327,118,327,118,327,118,327,118,327,118,327,118,327,118,327,118,327,118,327,118,327.0,118.0,327.0,118.0,327.0,118.0,327.0,118.0,1.0,1.0
cdd16733-9be2-4300-801a-f343ec909b4e,10,False,"[(209, 118)]",312,232,163,115,312,206,327,327,209,327,209,327,209,327,209,327,209,327,209,327,209,327,209,327,209,327,209,327,209,327.0,209.0,327.0,209.0,327.0,209.0,327.0,209.0,1.0,1.0
